model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-10,V1,V1,train,sub-08,553,560,rsa,0.16824404895305634
sub-10,V1,V2,train,sub-08,553,482,rsa,0.17599065601825714
sub-10,V1,V3,train,sub-08,553,458,rsa,0.11710111051797867
sub-10,V1,V4,train,sub-08,553,604,rsa,0.08856367319822311
sub-10,V1,V3A,train,sub-08,553,226,rsa,0.053112879395484924
sub-10,V1,V3B,train,sub-08,553,147,rsa,0.0440690740942955
sub-10,V1,V6,train,sub-08,553,105,rsa,0.01726563833653927
sub-10,V1,V6A,train,sub-08,553,84,rsa,0.026809653267264366
sub-10,V1,V7,train,sub-08,553,78,rsa,0.03085487149655819
sub-10,V1,V8,train,sub-08,553,112,rsa,0.047950468957424164
sub-10,V1,FFC,train,sub-08,553,275,rsa,0.04279635101556778
sub-10,V1,PIT,train,sub-08,553,117,rsa,0.03423527255654335
sub-10,V1,IPS1,train,sub-08,553,219,rsa,0.02489829622209072
sub-10,V1,MST,train,sub-08,553,140,rsa,0.03377320244908333
sub-10,V1,MT,train,sub-08,553,99,rsa,0.030706988647580147
sub-10,V1,FST,train,sub-08,553,149,rsa,0.041828762739896774
sub-10,V1,LO1,train,sub-08,553,79,rsa,0.028876755386590958
sub-10,V1,LO2,train,sub-08,553,83,rsa,0.046224445104599
sub-10,V1,LO3,train,sub-08,553,125,rsa,0.021121589466929436
sub-10,V1,V7,train,sub-08,553,78,rsa,0.03085487149655819
sub-10,V1,IP0,train,sub-08,553,151,rsa,0.022831453010439873
sub-10,V1,IP1,train,sub-08,553,91,rsa,0.010096929967403412
sub-10,V1,MIP,train,sub-08,553,291,rsa,0.027193579822778702
sub-10,V1,VIP,train,sub-08,553,184,rsa,0.011922665871679783
sub-10,V1,LIPd,train,sub-08,553,77,rsa,0.0069689638912677765
sub-10,V1,LIPv,train,sub-08,553,251,rsa,0.012725502252578735
sub-10,V1,AIP,train,sub-08,553,387,rsa,0.007272147573530674
sub-10,V1,7Pm,train,sub-08,553,25,rsa,0.003383967559784651
sub-10,V1,7PL,train,sub-08,553,91,rsa,0.015685515478253365
sub-10,V1,7PC,train,sub-08,553,231,rsa,0.009894835762679577
sub-10,V1,7Am,train,sub-08,553,136,rsa,0.009656769223511219
sub-10,V1,7AL,train,sub-08,553,234,rsa,0.0047439634799957275
sub-10,V1,VVC,train,sub-08,553,199,rsa,0.024515841156244278
sub-10,V1,VMV2,train,sub-08,553,94,rsa,0.015395133756101131
sub-10,V1,VMV3,train,sub-08,553,107,rsa,0.020161692053079605
sub-10,V1,VMV1,train,sub-08,553,44,rsa,0.01242766436189413
sub-10,V1,PHA2,train,sub-08,553,13,rsa,0.006080076564103365
sub-10,V1,PHA3,train,sub-08,553,55,rsa,0.01433710940182209
sub-10,V1,PH,train,sub-08,553,350,rsa,0.039668042212724686
sub-10,V2,V1,train,sub-08,516,560,rsa,0.15044203400611877
sub-10,V2,V2,train,sub-08,516,482,rsa,0.1946781724691391
sub-10,V2,V3,train,sub-08,516,458,rsa,0.123741015791893
sub-10,V2,V4,train,sub-08,516,604,rsa,0.0972224771976471
sub-10,V2,V3A,train,sub-08,516,226,rsa,0.06062613055109978
sub-10,V2,V3B,train,sub-08,516,147,rsa,0.04960757866501808
sub-10,V2,V6,train,sub-08,516,105,rsa,0.028300581499934196
sub-10,V2,V6A,train,sub-08,516,84,rsa,0.03688598796725273
sub-10,V2,V7,train,sub-08,516,78,rsa,0.048733118921518326
sub-10,V2,V8,train,sub-08,516,112,rsa,0.04724178835749626
sub-10,V2,FFC,train,sub-08,516,275,rsa,0.03899160400032997
sub-10,V2,PIT,train,sub-08,516,117,rsa,0.03147290647029877
sub-10,V2,IPS1,train,sub-08,516,219,rsa,0.02570662833750248
sub-10,V2,MST,train,sub-08,516,140,rsa,0.032179199159145355
sub-10,V2,MT,train,sub-08,516,99,rsa,0.02938881888985634
sub-10,V2,FST,train,sub-08,516,149,rsa,0.034392450004816055
sub-10,V2,LO1,train,sub-08,516,79,rsa,0.027424298226833344
sub-10,V2,LO2,train,sub-08,516,83,rsa,0.040269069373607635
sub-10,V2,LO3,train,sub-08,516,125,rsa,0.028166010975837708
sub-10,V2,V7,train,sub-08,516,78,rsa,0.048733118921518326
sub-10,V2,IP0,train,sub-08,516,151,rsa,0.02469554729759693
sub-10,V2,IP1,train,sub-08,516,91,rsa,0.009079101495444775
sub-10,V2,MIP,train,sub-08,516,291,rsa,0.02167629636824131
sub-10,V2,VIP,train,sub-08,516,184,rsa,0.015086706727743149
sub-10,V2,LIPd,train,sub-08,516,77,rsa,0.007611074484884739
sub-10,V2,LIPv,train,sub-08,516,251,rsa,0.015411973930895329
sub-10,V2,AIP,train,sub-08,516,387,rsa,0.008248372003436089
sub-10,V2,7Pm,train,sub-08,516,25,rsa,0.002462704898789525
sub-10,V2,7PL,train,sub-08,516,91,rsa,0.0184277705848217
sub-10,V2,7PC,train,sub-08,516,231,rsa,0.013873974792659283
sub-10,V2,7Am,train,sub-08,516,136,rsa,0.018037261441349983
sub-10,V2,7AL,train,sub-08,516,234,rsa,0.007926526479423046
sub-10,V2,VVC,train,sub-08,516,199,rsa,0.02084178477525711
sub-10,V2,VMV2,train,sub-08,516,94,rsa,0.012641451321542263
sub-10,V2,VMV3,train,sub-08,516,107,rsa,0.02391175553202629
sub-10,V2,VMV1,train,sub-08,516,44,rsa,0.018482517451047897
sub-10,V2,PHA2,train,sub-08,516,13,rsa,0.004256196785718203
sub-10,V2,PHA3,train,sub-08,516,55,rsa,0.011479967273771763
sub-10,V2,PH,train,sub-08,516,350,rsa,0.03064846247434616
sub-10,V3,V1,train,sub-08,400,560,rsa,0.14884281158447266
sub-10,V3,V2,train,sub-08,400,482,rsa,0.20498736202716827
sub-10,V3,V3,train,sub-08,400,458,rsa,0.158955916762352
sub-10,V3,V4,train,sub-08,400,604,rsa,0.13852941989898682
sub-10,V3,V3A,train,sub-08,400,226,rsa,0.08358588814735413
sub-10,V3,V3B,train,sub-08,400,147,rsa,0.06665786355733871
sub-10,V3,V6,train,sub-08,400,105,rsa,0.02986789681017399
sub-10,V3,V6A,train,sub-08,400,84,rsa,0.04895901679992676
sub-10,V3,V7,train,sub-08,400,78,rsa,0.06343238055706024
sub-10,V3,V8,train,sub-08,400,112,rsa,0.07948480546474457
sub-10,V3,FFC,train,sub-08,400,275,rsa,0.0578746497631073
sub-10,V3,PIT,train,sub-08,400,117,rsa,0.05070476979017258
sub-10,V3,IPS1,train,sub-08,400,219,rsa,0.046262405812740326
sub-10,V3,MST,train,sub-08,400,140,rsa,0.04787304997444153
sub-10,V3,MT,train,sub-08,400,99,rsa,0.03599170595407486
sub-10,V3,FST,train,sub-08,400,149,rsa,0.05771283060312271
sub-10,V3,LO1,train,sub-08,400,79,rsa,0.0430673323571682
sub-10,V3,LO2,train,sub-08,400,83,rsa,0.05973858758807182
sub-10,V3,LO3,train,sub-08,400,125,rsa,0.04151665046811104
sub-10,V3,V7,train,sub-08,400,78,rsa,0.06343238055706024
sub-10,V3,IP0,train,sub-08,400,151,rsa,0.029672376811504364
sub-10,V3,IP1,train,sub-08,400,91,rsa,0.01410102192312479
sub-10,V3,MIP,train,sub-08,400,291,rsa,0.0351724810898304
sub-10,V3,VIP,train,sub-08,400,184,rsa,0.01808236353099346
sub-10,V3,LIPd,train,sub-08,400,77,rsa,0.012476366944611073
sub-10,V3,LIPv,train,sub-08,400,251,rsa,0.022028939798474312
sub-10,V3,AIP,train,sub-08,400,387,rsa,0.011053260415792465
sub-10,V3,7Pm,train,sub-08,400,25,rsa,0.00336862588301301
sub-10,V3,7PL,train,sub-08,400,91,rsa,0.021329712122678757
sub-10,V3,7PC,train,sub-08,400,231,rsa,0.01446756161749363
sub-10,V3,7Am,train,sub-08,400,136,rsa,0.016273021697998047
sub-10,V3,7AL,train,sub-08,400,234,rsa,0.008446496911346912
sub-10,V3,VVC,train,sub-08,400,199,rsa,0.0364471897482872
sub-10,V3,VMV2,train,sub-08,400,94,rsa,0.02393113449215889
sub-10,V3,VMV3,train,sub-08,400,107,rsa,0.03391610085964203
sub-10,V3,VMV1,train,sub-08,400,44,rsa,0.017479775473475456
sub-10,V3,PHA2,train,sub-08,400,13,rsa,0.004742614459246397
sub-10,V3,PHA3,train,sub-08,400,55,rsa,0.016304630786180496
sub-10,V3,PH,train,sub-08,400,350,rsa,0.05250804126262665
sub-10,V4,V1,train,sub-08,574,560,rsa,0.12152349203824997
sub-10,V4,V2,train,sub-08,574,482,rsa,0.16863247752189636
sub-10,V4,V3,train,sub-08,574,458,rsa,0.16397760808467865
sub-10,V4,V4,train,sub-08,574,604,rsa,0.27556928992271423
sub-10,V4,V3A,train,sub-08,574,226,rsa,0.12132507562637329
sub-10,V4,V3B,train,sub-08,574,147,rsa,0.1816011667251587
sub-10,V4,V6,train,sub-08,574,105,rsa,0.07722017168998718
sub-10,V4,V6A,train,sub-08,574,84,rsa,0.11951719224452972
sub-10,V4,V7,train,sub-08,574,78,rsa,0.08599871397018433
sub-10,V4,V8,train,sub-08,574,112,rsa,0.20192232728004456
sub-10,V4,FFC,train,sub-08,574,275,rsa,0.16276051104068756
sub-10,V4,PIT,train,sub-08,574,117,rsa,0.11795400083065033
sub-10,V4,IPS1,train,sub-08,574,219,rsa,0.11061038076877594
sub-10,V4,MST,train,sub-08,574,140,rsa,0.09681051224470139
sub-10,V4,MT,train,sub-08,574,99,rsa,0.1190233901143074
sub-10,V4,FST,train,sub-08,574,149,rsa,0.1645190268754959
sub-10,V4,LO1,train,sub-08,574,79,rsa,0.11056964099407196
sub-10,V4,LO2,train,sub-08,574,83,rsa,0.22751329839229584
sub-10,V4,LO3,train,sub-08,574,125,rsa,0.12046760320663452
sub-10,V4,V7,train,sub-08,574,78,rsa,0.08599871397018433
sub-10,V4,IP0,train,sub-08,574,151,rsa,0.10888984054327011
sub-10,V4,IP1,train,sub-08,574,91,rsa,0.04438150301575661
sub-10,V4,MIP,train,sub-08,574,291,rsa,0.09414022415876389
sub-10,V4,VIP,train,sub-08,574,184,rsa,0.04427889361977577
sub-10,V4,LIPd,train,sub-08,574,77,rsa,0.033285222947597504
sub-10,V4,LIPv,train,sub-08,574,251,rsa,0.0436183325946331
sub-10,V4,AIP,train,sub-08,574,387,rsa,0.028385715559124947
sub-10,V4,7Pm,train,sub-08,574,25,rsa,0.015047413296997547
sub-10,V4,7PL,train,sub-08,574,91,rsa,0.03937879949808121
sub-10,V4,7PC,train,sub-08,574,231,rsa,0.03348224237561226
sub-10,V4,7Am,train,sub-08,574,136,rsa,0.040778398513793945
sub-10,V4,7AL,train,sub-08,574,234,rsa,0.018096277490258217
sub-10,V4,VVC,train,sub-08,574,199,rsa,0.09903354197740555
sub-10,V4,VMV2,train,sub-08,574,94,rsa,0.05956672132015228
sub-10,V4,VMV3,train,sub-08,574,107,rsa,0.09765587002038956
sub-10,V4,VMV1,train,sub-08,574,44,rsa,0.055081818252801895
sub-10,V4,PHA2,train,sub-08,574,13,rsa,0.017994940280914307
sub-10,V4,PHA3,train,sub-08,574,55,rsa,0.05071188509464264
sub-10,V4,PH,train,sub-08,574,350,rsa,0.16256673634052277
sub-10,V3A,V1,train,sub-08,85,560,rsa,0.04900883510708809
sub-10,V3A,V2,train,sub-08,85,482,rsa,0.091531902551651
sub-10,V3A,V3,train,sub-08,85,458,rsa,0.07486559450626373
sub-10,V3A,V4,train,sub-08,85,604,rsa,0.09837847203016281
sub-10,V3A,V3A,train,sub-08,85,226,rsa,0.12442295998334885
sub-10,V3A,V3B,train,sub-08,85,147,rsa,0.08862314373254776
sub-10,V3A,V6,train,sub-08,85,105,rsa,0.04927690699696541
sub-10,V3A,V6A,train,sub-08,85,84,rsa,0.08911946415901184
sub-10,V3A,V7,train,sub-08,85,78,rsa,0.09754730015993118
sub-10,V3A,V8,train,sub-08,85,112,rsa,0.0695192888379097
sub-10,V3A,FFC,train,sub-08,85,275,rsa,0.053550511598587036
sub-10,V3A,PIT,train,sub-08,85,117,rsa,0.03630160912871361
sub-10,V3A,IPS1,train,sub-08,85,219,rsa,0.06907808780670166
sub-10,V3A,MST,train,sub-08,85,140,rsa,0.07663163542747498
sub-10,V3A,MT,train,sub-08,85,99,rsa,0.06130728870630264
sub-10,V3A,FST,train,sub-08,85,149,rsa,0.07726062089204788
sub-10,V3A,LO1,train,sub-08,85,79,rsa,0.03116411715745926
sub-10,V3A,LO2,train,sub-08,85,83,rsa,0.04945650324225426
sub-10,V3A,LO3,train,sub-08,85,125,rsa,0.07475831359624863
sub-10,V3A,V7,train,sub-08,85,78,rsa,0.09754730015993118
sub-10,V3A,IP0,train,sub-08,85,151,rsa,0.034967437386512756
sub-10,V3A,IP1,train,sub-08,85,91,rsa,0.021411193534731865
sub-10,V3A,MIP,train,sub-08,85,291,rsa,0.05508793890476227
sub-10,V3A,VIP,train,sub-08,85,184,rsa,0.030035078525543213
sub-10,V3A,LIPd,train,sub-08,85,77,rsa,0.016785522922873497
sub-10,V3A,LIPv,train,sub-08,85,251,rsa,0.024766864255070686
sub-10,V3A,AIP,train,sub-08,85,387,rsa,0.01626400835812092
sub-10,V3A,7Pm,train,sub-08,85,25,rsa,0.006773016881197691
sub-10,V3A,7PL,train,sub-08,85,91,rsa,0.024354957044124603
sub-10,V3A,7PC,train,sub-08,85,231,rsa,0.019610699266195297
sub-10,V3A,7Am,train,sub-08,85,136,rsa,0.021777726709842682
sub-10,V3A,7AL,train,sub-08,85,234,rsa,0.020705396309494972
sub-10,V3A,VVC,train,sub-08,85,199,rsa,0.046517059206962585
sub-10,V3A,VMV2,train,sub-08,85,94,rsa,0.03688228130340576
sub-10,V3A,VMV3,train,sub-08,85,107,rsa,0.047697171568870544
sub-10,V3A,VMV1,train,sub-08,85,44,rsa,0.029546299949288368
sub-10,V3A,PHA2,train,sub-08,85,13,rsa,0.010573862120509148
sub-10,V3A,PHA3,train,sub-08,85,55,rsa,0.019882619380950928
sub-10,V3A,PH,train,sub-08,85,350,rsa,0.060452479869127274
sub-10,V3B,V1,train,sub-08,99,560,rsa,0.03441093489527702
sub-10,V3B,V2,train,sub-08,99,482,rsa,0.05064152181148529
sub-10,V3B,V3,train,sub-08,99,458,rsa,0.0518062524497509
sub-10,V3B,V4,train,sub-08,99,604,rsa,0.11558569967746735
sub-10,V3B,V3A,train,sub-08,99,226,rsa,0.07392507046461105
sub-10,V3B,V3B,train,sub-08,99,147,rsa,0.132950097322464
sub-10,V3B,V6,train,sub-08,99,105,rsa,0.047960441559553146
sub-10,V3B,V6A,train,sub-08,99,84,rsa,0.08817507326602936
sub-10,V3B,V7,train,sub-08,99,78,rsa,0.06090831756591797
sub-10,V3B,V8,train,sub-08,99,112,rsa,0.11648359149694443
sub-10,V3B,FFC,train,sub-08,99,275,rsa,0.07998865842819214
sub-10,V3B,PIT,train,sub-08,99,117,rsa,0.08055131137371063
sub-10,V3B,IPS1,train,sub-08,99,219,rsa,0.07255559414625168
sub-10,V3B,MST,train,sub-08,99,140,rsa,0.07724671065807343
sub-10,V3B,MT,train,sub-08,99,99,rsa,0.08917514979839325
sub-10,V3B,FST,train,sub-08,99,149,rsa,0.08920245617628098
sub-10,V3B,LO1,train,sub-08,99,79,rsa,0.06329578161239624
sub-10,V3B,LO2,train,sub-08,99,83,rsa,0.12184520810842514
sub-10,V3B,LO3,train,sub-08,99,125,rsa,0.05491860583424568
sub-10,V3B,V7,train,sub-08,99,78,rsa,0.06090831756591797
sub-10,V3B,IP0,train,sub-08,99,151,rsa,0.08306973427534103
sub-10,V3B,IP1,train,sub-08,99,91,rsa,0.03509671986103058
sub-10,V3B,MIP,train,sub-08,99,291,rsa,0.06381916254758835
sub-10,V3B,VIP,train,sub-08,99,184,rsa,0.022972702980041504
sub-10,V3B,LIPd,train,sub-08,99,77,rsa,0.03319939970970154
sub-10,V3B,LIPv,train,sub-08,99,251,rsa,0.04492349177598953
sub-10,V3B,AIP,train,sub-08,99,387,rsa,0.024673478677868843
sub-10,V3B,7Pm,train,sub-08,99,25,rsa,0.011171017773449421
sub-10,V3B,7PL,train,sub-08,99,91,rsa,0.016346847638487816
sub-10,V3B,7PC,train,sub-08,99,231,rsa,0.020769668743014336
sub-10,V3B,7Am,train,sub-08,99,136,rsa,0.030848124995827675
sub-10,V3B,7AL,train,sub-08,99,234,rsa,0.017608553171157837
sub-10,V3B,VVC,train,sub-08,99,199,rsa,0.052568789571523666
sub-10,V3B,VMV2,train,sub-08,99,94,rsa,0.04207246005535126
sub-10,V3B,VMV3,train,sub-08,99,107,rsa,0.06759059429168701
sub-10,V3B,VMV1,train,sub-08,99,44,rsa,0.040741752833127975
sub-10,V3B,PHA2,train,sub-08,99,13,rsa,0.014326839707791805
sub-10,V3B,PHA3,train,sub-08,99,55,rsa,0.024478567764163017
sub-10,V3B,PH,train,sub-08,99,350,rsa,0.08324429392814636
sub-10,V6,V1,train,sub-08,11,560,rsa,0.008599058724939823
sub-10,V6,V2,train,sub-08,11,482,rsa,0.024113373830914497
sub-10,V6,V3,train,sub-08,11,458,rsa,0.01787402853369713
sub-10,V6,V4,train,sub-08,11,604,rsa,0.03165994584560394
sub-10,V6,V3A,train,sub-08,11,226,rsa,0.04907853156328201
sub-10,V6,V3B,train,sub-08,11,147,rsa,0.032531946897506714
sub-10,V6,V6,train,sub-08,11,105,rsa,0.050894513726234436
sub-10,V6,V6A,train,sub-08,11,84,rsa,0.05177198350429535
sub-10,V6,V7,train,sub-08,11,78,rsa,0.037316616624593735
sub-10,V6,V8,train,sub-08,11,112,rsa,0.019242925569415092
sub-10,V6,FFC,train,sub-08,11,275,rsa,0.022052234038710594
sub-10,V6,PIT,train,sub-08,11,117,rsa,0.023082876577973366
sub-10,V6,IPS1,train,sub-08,11,219,rsa,0.03064168058335781
sub-10,V6,MST,train,sub-08,11,140,rsa,0.0855589210987091
sub-10,V6,MT,train,sub-08,11,99,rsa,0.046783216297626495
sub-10,V6,FST,train,sub-08,11,149,rsa,0.03419872373342514
sub-10,V6,LO1,train,sub-08,11,79,rsa,0.02548314444720745
sub-10,V6,LO2,train,sub-08,11,83,rsa,0.02834216319024563
sub-10,V6,LO3,train,sub-08,11,125,rsa,0.055724624544382095
sub-10,V6,V7,train,sub-08,11,78,rsa,0.037316616624593735
sub-10,V6,IP0,train,sub-08,11,151,rsa,0.023286867886781693
sub-10,V6,IP1,train,sub-08,11,91,rsa,0.006981975398957729
sub-10,V6,MIP,train,sub-08,11,291,rsa,0.020523447543382645
sub-10,V6,VIP,train,sub-08,11,184,rsa,0.02477644570171833
sub-10,V6,LIPd,train,sub-08,11,77,rsa,0.009673180058598518
sub-10,V6,LIPv,train,sub-08,11,251,rsa,0.011533347889780998
sub-10,V6,AIP,train,sub-08,11,387,rsa,0.00204771407879889
sub-10,V6,7Pm,train,sub-08,11,25,rsa,0.003222357714548707
sub-10,V6,7PL,train,sub-08,11,91,rsa,0.02533157542347908
sub-10,V6,7PC,train,sub-08,11,231,rsa,0.014695165678858757
sub-10,V6,7Am,train,sub-08,11,136,rsa,0.01442695315927267
sub-10,V6,7AL,train,sub-08,11,234,rsa,0.0108375558629632
sub-10,V6,VVC,train,sub-08,11,199,rsa,0.01646423153579235
sub-10,V6,VMV2,train,sub-08,11,94,rsa,0.01367240957915783
sub-10,V6,VMV3,train,sub-08,11,107,rsa,0.021403370425105095
sub-10,V6,VMV1,train,sub-08,11,44,rsa,0.008625468239188194
sub-10,V6,PHA2,train,sub-08,11,13,rsa,0.007057751063257456
sub-10,V6,PHA3,train,sub-08,11,55,rsa,0.011951013468205929
sub-10,V6,PH,train,sub-08,11,350,rsa,0.029717016965150833
sub-10,V6A,V1,train,sub-08,45,560,rsa,0.02357095293700695
sub-10,V6A,V2,train,sub-08,45,482,rsa,0.04242052510380745
sub-10,V6A,V3,train,sub-08,45,458,rsa,0.03244635835289955
sub-10,V6A,V4,train,sub-08,45,604,rsa,0.06079573929309845
sub-10,V6A,V3A,train,sub-08,45,226,rsa,0.06235533952713013
sub-10,V6A,V3B,train,sub-08,45,147,rsa,0.05805213004350662
sub-10,V6A,V6,train,sub-08,45,105,rsa,0.032867446541786194
sub-10,V6A,V6A,train,sub-08,45,84,rsa,0.06454258412122726
sub-10,V6A,V7,train,sub-08,45,78,rsa,0.04599291458725929
sub-10,V6A,V8,train,sub-08,45,112,rsa,0.04123356193304062
sub-10,V6A,FFC,train,sub-08,45,275,rsa,0.044411800801754
sub-10,V6A,PIT,train,sub-08,45,117,rsa,0.024175571277737617
sub-10,V6A,IPS1,train,sub-08,45,219,rsa,0.058914173394441605
sub-10,V6A,MST,train,sub-08,45,140,rsa,0.07022706419229507
sub-10,V6A,MT,train,sub-08,45,99,rsa,0.07089480757713318
sub-10,V6A,FST,train,sub-08,45,149,rsa,0.06036019325256348
sub-10,V6A,LO1,train,sub-08,45,79,rsa,0.03275056183338165
sub-10,V6A,LO2,train,sub-08,45,83,rsa,0.04343056306242943
sub-10,V6A,LO3,train,sub-08,45,125,rsa,0.06701868772506714
sub-10,V6A,V7,train,sub-08,45,78,rsa,0.04599291458725929
sub-10,V6A,IP0,train,sub-08,45,151,rsa,0.03213166445493698
sub-10,V6A,IP1,train,sub-08,45,91,rsa,0.021519728004932404
sub-10,V6A,MIP,train,sub-08,45,291,rsa,0.04190058261156082
sub-10,V6A,VIP,train,sub-08,45,184,rsa,0.030983932316303253
sub-10,V6A,LIPd,train,sub-08,45,77,rsa,0.016130244359374046
sub-10,V6A,LIPv,train,sub-08,45,251,rsa,0.02862371690571308
sub-10,V6A,AIP,train,sub-08,45,387,rsa,0.011614693328738213
sub-10,V6A,7Pm,train,sub-08,45,25,rsa,0.008834894746541977
sub-10,V6A,7PL,train,sub-08,45,91,rsa,0.01910189911723137
sub-10,V6A,7PC,train,sub-08,45,231,rsa,0.018635615706443787
sub-10,V6A,7Am,train,sub-08,45,136,rsa,0.015169781632721424
sub-10,V6A,7AL,train,sub-08,45,234,rsa,0.01616356335580349
sub-10,V6A,VVC,train,sub-08,45,199,rsa,0.03585049510002136
sub-10,V6A,VMV2,train,sub-08,45,94,rsa,0.024939127266407013
sub-10,V6A,VMV3,train,sub-08,45,107,rsa,0.03263354301452637
sub-10,V6A,VMV1,train,sub-08,45,44,rsa,0.015186041593551636
sub-10,V6A,PHA2,train,sub-08,45,13,rsa,0.003840480465441942
sub-10,V6A,PHA3,train,sub-08,45,55,rsa,0.013091645203530788
sub-10,V6A,PH,train,sub-08,45,350,rsa,0.050931092351675034
sub-10,V7,V1,train,sub-08,61,560,rsa,0.01851726323366165
sub-10,V7,V2,train,sub-08,61,482,rsa,0.03033118136227131
sub-10,V7,V3,train,sub-08,61,458,rsa,0.024974269792437553
sub-10,V7,V4,train,sub-08,61,604,rsa,0.06642722338438034
sub-10,V7,V3A,train,sub-08,61,226,rsa,0.050330549478530884
sub-10,V7,V3B,train,sub-08,61,147,rsa,0.06771787256002426
sub-10,V7,V6,train,sub-08,61,105,rsa,0.04699227958917618
sub-10,V7,V6A,train,sub-08,61,84,rsa,0.06591840833425522
sub-10,V7,V7,train,sub-08,61,78,rsa,0.047777898609638214
sub-10,V7,V8,train,sub-08,61,112,rsa,0.05141863226890564
sub-10,V7,FFC,train,sub-08,61,275,rsa,0.051609575748443604
sub-10,V7,PIT,train,sub-08,61,117,rsa,0.028739083558321
sub-10,V7,IPS1,train,sub-08,61,219,rsa,0.05959915369749069
sub-10,V7,MST,train,sub-08,61,140,rsa,0.07051168382167816
sub-10,V7,MT,train,sub-08,61,99,rsa,0.08962089568376541
sub-10,V7,FST,train,sub-08,61,149,rsa,0.0774504691362381
sub-10,V7,LO1,train,sub-08,61,79,rsa,0.05469122901558876
sub-10,V7,LO2,train,sub-08,61,83,rsa,0.07487927377223969
sub-10,V7,LO3,train,sub-08,61,125,rsa,0.06218409910798073
sub-10,V7,V7,train,sub-08,61,78,rsa,0.047777898609638214
sub-10,V7,IP0,train,sub-08,61,151,rsa,0.05038151890039444
sub-10,V7,IP1,train,sub-08,61,91,rsa,0.02936568669974804
sub-10,V7,MIP,train,sub-08,61,291,rsa,0.04640977829694748
sub-10,V7,VIP,train,sub-08,61,184,rsa,0.027778031304478645
sub-10,V7,LIPd,train,sub-08,61,77,rsa,0.024831393733620644
sub-10,V7,LIPv,train,sub-08,61,251,rsa,0.035915475338697433
sub-10,V7,AIP,train,sub-08,61,387,rsa,0.018623925745487213
sub-10,V7,7Pm,train,sub-08,61,25,rsa,0.0070991734974086285
sub-10,V7,7PL,train,sub-08,61,91,rsa,0.021783389151096344
sub-10,V7,7PC,train,sub-08,61,231,rsa,0.03027457930147648
sub-10,V7,7Am,train,sub-08,61,136,rsa,0.026521045714616776
sub-10,V7,7AL,train,sub-08,61,234,rsa,0.016096122562885284
sub-10,V7,VVC,train,sub-08,61,199,rsa,0.03934389352798462
sub-10,V7,VMV2,train,sub-08,61,94,rsa,0.022044766694307327
sub-10,V7,VMV3,train,sub-08,61,107,rsa,0.03519252687692642
sub-10,V7,VMV1,train,sub-08,61,44,rsa,0.021849626675248146
sub-10,V7,PHA2,train,sub-08,61,13,rsa,0.0033630705438554287
sub-10,V7,PHA3,train,sub-08,61,55,rsa,0.014666191302239895
sub-10,V7,PH,train,sub-08,61,350,rsa,0.05960944667458534
sub-10,V8,V1,train,sub-08,96,560,rsa,0.05763363838195801
sub-10,V8,V2,train,sub-08,96,482,rsa,0.09024655818939209
sub-10,V8,V3,train,sub-08,96,458,rsa,0.08805646747350693
sub-10,V8,V4,train,sub-08,96,604,rsa,0.1487705558538437
sub-10,V8,V3A,train,sub-08,96,226,rsa,0.0788499116897583
sub-10,V8,V3B,train,sub-08,96,147,rsa,0.1035088524222374
sub-10,V8,V6,train,sub-08,96,105,rsa,0.03257659450173378
sub-10,V8,V6A,train,sub-08,96,84,rsa,0.07668150216341019
sub-10,V8,V7,train,sub-08,96,78,rsa,0.03774375095963478
sub-10,V8,V8,train,sub-08,96,112,rsa,0.14081379771232605
sub-10,V8,FFC,train,sub-08,96,275,rsa,0.08968130499124527
sub-10,V8,PIT,train,sub-08,96,117,rsa,0.04579252749681473
sub-10,V8,IPS1,train,sub-08,96,219,rsa,0.08066339790821075
sub-10,V8,MST,train,sub-08,96,140,rsa,0.05453149229288101
sub-10,V8,MT,train,sub-08,96,99,rsa,0.06297750025987625
sub-10,V8,FST,train,sub-08,96,149,rsa,0.08001958578824997
sub-10,V8,LO1,train,sub-08,96,79,rsa,0.05825763940811157
sub-10,V8,LO2,train,sub-08,96,83,rsa,0.1021745428442955
sub-10,V8,LO3,train,sub-08,96,125,rsa,0.10059963166713715
sub-10,V8,V7,train,sub-08,96,78,rsa,0.03774375095963478
sub-10,V8,IP0,train,sub-08,96,151,rsa,0.05364658683538437
sub-10,V8,IP1,train,sub-08,96,91,rsa,0.021823709830641747
sub-10,V8,MIP,train,sub-08,96,291,rsa,0.06648682057857513
sub-10,V8,VIP,train,sub-08,96,184,rsa,0.03190477192401886
sub-10,V8,LIPd,train,sub-08,96,77,rsa,0.020913267508149147
sub-10,V8,LIPv,train,sub-08,96,251,rsa,0.018828488886356354
sub-10,V8,AIP,train,sub-08,96,387,rsa,0.014865225180983543
sub-10,V8,7Pm,train,sub-08,96,25,rsa,0.011591836810112
sub-10,V8,7PL,train,sub-08,96,91,rsa,0.02047867700457573
sub-10,V8,7PC,train,sub-08,96,231,rsa,0.012465757317841053
sub-10,V8,7Am,train,sub-08,96,136,rsa,0.023909559473395348
sub-10,V8,7AL,train,sub-08,96,234,rsa,0.014054328203201294
sub-10,V8,VVC,train,sub-08,96,199,rsa,0.08824333548545837
sub-10,V8,VMV2,train,sub-08,96,94,rsa,0.07119215279817581
